,m,Average running time,Running time stdev,Average score,Score stdev,Average quality,Average objective quality
0,25,0.16146841049194335,0.008056710210370636,19.0,0.7071067811865476,24.0,
1,50,0.2792535305023193,0.02036078768780895,36.0,0.7071067811865476,28.000000000000004,
2,75,0.4134068965911865,0.05327215904791453,56.4,1.140175425099138,24.8,
3,100,0.4765907287597656,0.024175386553020782,74.8,0.8366600265340756,25.2,
4,125,0.5884267807006835,0.02345968396619525,92.0,1.5811388300841898,26.400000000000002,
5,175,0.8731405735015869,0.08703368618260576,130.2,1.6431676725154984,25.6,
6,200,1.0482183933258056,0.14123619124516626,148.4,1.51657508881031,25.8,
7,225,1.0636175632476808,0.02567614517704032,166.0,1.5811388300841898,26.222222222222225,
8,250,1.1655183792114259,0.02433503975070155,186.4,1.9493588689617927,25.44,
9,275,1.2877660274505616,0.01938511898749828,204.0,1.4142135623730951,25.818181818181817,
10,300,1.3469680786132812,0.0062025625046906105,222.8,2.3874672772626644,25.733333333333334,
11,325,1.5293675899505614,0.07129875948091337,244.0,3.082207001484488,24.923076923076923,
12,350,2.0168060779571535,0.20327372126197965,259.8,2.6832815729997477,25.771428571428572,
13,375,2.028131055831909,0.27252114841958003,280.4,3.4351128074635335,25.226666666666663,
14,400,1.881129217147827,0.025163187894986845,298.0,2.0,25.5,
15,425,2.0177284240722657,0.08670479607830874,317.0,3.24037034920393,25.41176470588235,
16,450,2.4315341472625733,0.2062755317939288,334.8,1.4832396974191326,25.6,
17,475,2.4747326374053955,0.09868870501156614,356.8,2.16794833886788,24.88421052631579,
18,500,2.465729904174805,0.13034248997462475,375.0,1.8708286933869707,25.0,
