Sat Aug 14 16:32:45 2021    profile_out.prof

         785112 function calls (779896 primitive calls) in 5.558 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.558    5.558 C:\Users\aleksa\Documents\FAKS\RI\repo\src\abstractions.py:211(run_and_time)
        1    0.000    0.000    5.558    5.558 C:\Users\aleksa\Documents\FAKS\RI\repo\src\abstractions.py:205(solve)
        1    0.002    0.002    5.558    5.558 C:\Users\aleksa\Documents\FAKS\RI\repo\src\solvers\ptas\li_ma_wang_ptas.py:141(solve_)
       45    0.071    0.002    5.495    0.122 C:\Users\aleksa\Documents\FAKS\RI\repo\src\solvers\ptas\li_ma_wang_ptas.py:55(solve_lp_problem_relax)
       45    0.014    0.000    5.023    0.112 C:\Python39\lib\site-packages\scipy\optimize\_linprog.py:169(linprog)
       45    0.000    0.000    4.538    0.101 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:821(_linprog_ip)
       45    0.116    0.003    4.538    0.101 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:551(_ip_hsd)
      472    0.413    0.001    4.028    0.009 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:129(_get_delta)
    17759    1.685    0.000    1.685    0.000 {method 'dot' of 'numpy.ndarray' objects}
      474    0.004    0.000    1.362    0.003 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:42(_get_solver)
      472    0.002    0.000    1.358    0.003 C:\Python39\lib\site-packages\scipy\linalg\decomp_cholesky.py:93(cho_factor)
      472    1.287    0.003    1.357    0.003 C:\Python39\lib\site-packages\scipy\linalg\decomp_cholesky.py:13(_cholesky)
     1890    0.037    0.000    1.147    0.001 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:330(_sym_solve)
     1884    0.005    0.000    0.555    0.000 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:111(solve)
     1884    0.271    0.000    0.551    0.000 C:\Python39\lib\site-packages\scipy\linalg\decomp_cholesky.py:157(cho_solve)
27978/23122    0.138    0.000    0.520    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      517    0.012    0.000    0.350    0.001 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:454(_indicators)
     4250    0.271    0.000    0.334    0.000 C:\Python39\lib\site-packages\numpy\lib\function_base.py:422(asarray_chkfinite)
       45    0.001    0.000    0.319    0.007 C:\Users\aleksa\Documents\FAKS\RI\repo\src\solvers\ptas\li_ma_wang_ptas.py:95(<listcomp>)
      900    0.001    0.000    0.303    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\solvers\ptas\li_ma_wang_ptas.py:32(sat)
      945    0.017    0.000    0.302    0.000 {method 'join' of 'str' objects}
   113440    0.285    0.000    0.285    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\solvers\ptas\li_ma_wang_ptas.py:33(<genexpr>)
       45    0.007    0.000    0.270    0.006 C:\Python39\lib\site-packages\scipy\optimize\_linprog_util.py:443(_presolve)
       45    0.000    0.000    0.241    0.005 <__array_function__ internals>:2(matrix_rank)
       45    0.001    0.000    0.241    0.005 C:\Python39\lib\site-packages\numpy\linalg\linalg.py:1804(matrix_rank)
       45    0.000    0.000    0.238    0.005 <__array_function__ internals>:2(svd)
       45    0.237    0.005    0.237    0.005 C:\Python39\lib\site-packages\numpy\linalg\linalg.py:1482(svd)
       45    0.038    0.001    0.145    0.003 C:\Python39\lib\site-packages\scipy\optimize\_linprog_util.py:995(_get_Abc)
     1034    0.014    0.000    0.128    0.000 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:475(r_d)
     1034    0.010    0.000    0.117    0.000 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:472(r_p)
     1416    0.051    0.000    0.117    0.000 C:\Python39\lib\site-packages\scipy\optimize\_linprog_ip.py:350(_get_step)
      495    0.001    0.000    0.098    0.000 <__array_function__ internals>:2(concatenate)
    14568    0.097    0.000    0.097    0.000 {method 'reduce' of 'numpy.ufunc' objects}
